"coopID"	"long"	"lat"	"elev"
238051	-91.8872	39.9714	210.3
238223	-93.4194	38.9664	205.7
238466	-93.3989	38.2581	192.6
238523	-93.0031	40.475	323.1
238725	-91.1386	38.835	252.1
240199	-112.9569	46.1314	1609.3
240364	-112.3964	47.4931	1240.5
240780	-109.9503	45.8328	1249.7
241044	-111.0453	45.6622	1497.5
241552	-111.71	47.2194	1024.1
241722	-109.2256	48.5883	737.6
241737	-112.1919	47.8206	1172
242173	-112.3753	48.6033	1169.8
242409	-112.6447	45.2128	1593.5
242689	-104.5461	45.8903	1043.9
242793	-111.7111	45.3394	1509.7
243013	-108.3133	46.8511	954.9
243089	-107.4536	48.7778	792.2
243110	-109.7972	48.4983	796.4
243139	-114.8997	48.7783	914.4
243558	-106.6214	48.2139	696.5
243581	-104.7183	47.1064	632.8
243751	-111.3822	47.4733	1116.8
243885	-114.1642	46.2553	1080.5
244038	-111.3392	44.8667	1977.8
244055	-111.9636	46.6056	1166.8
244345	-108.2444	45.9228	924.8
244364	-107.1375	45.9353	944.9
244522	-106.9103	47.3144	798.6
244558	-114.2636	48.3042	901.3
245015	-115.5392	48.4036	638.9
245080	-110.5689	45.4836	1484.4
245338	-107.7286	48.3939	680
245572	-104.4514	48.4828	591.9
245668	-104.9619	46.7614	757.1
245690	-105.8825	46.4267	799.8
245761	-109.9514	47.0575	1310.6
246157	-111.6325	45.4856	1446.3
246472	-113.3	46.3158	1606.3
246601	-104.5164	46.4178	847.3
246918	-109.2497	45.1797	1718.2
247286	-114.0983	47.315	883.9
247318	-115.0908	47.3033	810.8
247382	-104.3378	47.4536	602
248501	-112.2511	48.3089	1161.3
248569	-105.3686	47.88	696.2
248597	-111.9481	45.2925	1759.6
248857	-111.1	44.65	2029.7
248930	-110.9	46.5436	1536.2
250070	-98.0036	41.6867	545.6
250130	-102.8967	42.1103	1217.4
250375	-96.3775	41.0406	326.1
250420	-99.0303	42.5136	637
250435	-95.7467	40.3703	283.5
250622	-96.75	40.2994	395.3
250640	-99.8278	40.1306	658.4
251145	-103.1042	41.6675	1117.4
251200	-99.675	41.4083	762
252020	-96.9469	40.6194	437.4
252100	-100.4936	40.6742	829.4
252205	-97.1328	41.2492	490.7
252820	-97.1669	40.0739	411.5
252840	-97.5928	40.6422	499.9
253035	-98.9667	40.1	565.4
253175	-97.5964	40.5314	496.8
253185	-97.7644	41.4514	484.6
253365	-100.1522	40.94	787.9
253615	-103.8842	42.6858	1478.3
253630	-97.2608	42.6167	417.6
253660	-98.3833	40.6475	591.3
253715	-102.6944	42.5119	1159.8
253735	-97.5903	40.175	451.1
253910	-99.3803	40.4517	707.1
254110	-101.655	40.5208	999.7
