"id"	"long"	"lat"
623	-99.858725	36.02908
624	-99.192774	36.032
625	-98.526789	36.031221
626	-97.86089	36.026744
627	-97.195198	36.018572
628	-96.529835	36.006709
629	-95.864921	35.991162
630	-95.200576	35.97194
631	-94.536921	35.949054
632	-93.874072	35.922518
633	-93.212149	35.892347
634	-92.551268	35.858557
635	-91.891545	35.821169
636	-91.233094	35.780204
637	-90.576029	35.735684
638	-89.920459	35.687636
639	-89.266496	35.636086
640	-88.614247	35.581062
641	-87.963819	35.522597
642	-87.315316	35.460722
643	-86.66884	35.395471
644	-86.024492	35.32688
645	-85.382369	35.254987
646	-84.742568	35.17983
647	-84.105181	35.10145
648	-83.470301	35.019888
649	-82.838015	34.935188
650	-82.20841	34.847395
651	-81.58157	34.756554
652	-80.957575	34.662711
653	-80.336505	34.565916
654	-79.718435	34.466217
655	-79.103437	34.363665
656	-78.491584	34.258309
657	-77.882942	34.150204
658	-120.603011	34.589598
659	-119.99316	34.701351
660	-119.379982	34.810337
661	-118.763545	34.916502
662	-118.143919	35.019795
663	-117.521176	35.120162
664	-116.895392	35.217553
665	-116.266645	35.311918
666	-115.635016	35.403208
667	-115.000589	35.491374
668	-114.36345	35.576372
669	-113.723688	35.658155
670	-113.081395	35.73668
671	-112.436665	35.811904
672	-111.789595	35.883786
673	-111.140282	35.952288
674	-110.48883	36.017371
675	-109.83534	36.078999
676	-109.179919	36.137139
677	-108.522674	36.191756
678	-107.863716	36.242821
679	-107.203155	36.290304
680	-106.541106	36.334179
681	-105.877682	36.37442
682	-105.213001	36.411005
683	-104.547181	36.443912
684	-103.88034	36.473121
685	-103.212599	36.498618
686	-102.54408	36.520385
687	-101.874904	36.538411
688	-101.205196	36.552686
689	-100.535078	36.5632
690	-99.864674	36.569948
691	-99.19411	36.572926
692	-98.52351	36.572132
693	-97.852998	36.567566
694	-97.1827	36.559231
695	-96.512739	36.547133
696	-95.84324	36.531277
697	-95.174326	36.511674
698	-94.50612	36.488335
699	-93.838743	36.461273
700	-93.172317	36.430504
701	-92.506962	36.396047
702	-91.842796	36.35792
703	-91.179937	36.316145
704	-90.518501	36.270748
705	-89.858601	36.221753
706	-89.200351	36.169188
707	-88.543861	36.113084
708	-87.88924	36.053472
709	-87.236595	35.990384
